path	name	size
C:\Users\Михаил\Desktop\sem8_dz	package	7738
C:\Users\Михаил\Desktop\sem8_dz\package	dir_1	130
C:\Users\Михаил\Desktop\sem8_dz\package	dir_2	165
C:\Users\Михаил\Desktop\sem8_dz\package	file3.json	357
C:\Users\Михаил\Desktop\sem8_dz\package	file3.pickle	246
C:\Users\Михаил\Desktop\sem8_dz\package	file3.txt	266
C:\Users\Михаил\Desktop\sem8_dz\package	log2_access.csv	286
C:\Users\Михаил\Desktop\sem8_dz\package	log2_access.json	694
C:\Users\Михаил\Desktop\sem8_dz\package	log2_access.pickle	336
C:\Users\Михаил\Desktop\sem8_dz\package	log_access.csv	86
C:\Users\Михаил\Desktop\sem8_dz\package	log_access.json	139
C:\Users\Михаил\Desktop\sem8_dz\package	log_access.pickle	136
C:\Users\Михаил\Desktop\sem8_dz\package	task1_1.py	732
C:\Users\Михаил\Desktop\sem8_dz\package	task1_2.py	1207
C:\Users\Михаил\Desktop\sem8_dz\package	task1_3.py	652
C:\Users\Михаил\Desktop\sem8_dz\package	task2.py	2245
C:\Users\Михаил\Desktop\sem8_dz\package	__init__.py	61
C:\Users\Михаил\Desktop\sem8_dz\package\dir_1	dir_1_1	55
C:\Users\Михаил\Desktop\sem8_dz\package\dir_1	text_1.txt	75
C:\Users\Михаил\Desktop\sem8_dz\package\dir_1\dir_1_1	text_1_1.txt	55
C:\Users\Михаил\Desktop\sem8_dz\package\dir_2	text_2.txt	42
C:\Users\Михаил\Desktop\sem8_dz\package\dir_2	text_3.txt	123
